(中台灣排除6都)公司登記資料-A農、林、漁、牧業,['108351']
臺灣花蓮地方法院檢察署緩起訴處分金與認罪協商補助款資訊,['46067']
臺灣苗栗地方檢察署年度預算案(按年),['12635']
臺灣苗栗地方檢察署會計報告,"['98680', '118476']"
臺灣苗栗地方法院檢察署主任觀護人涉嫌虛報差旅費檢討專報,['14562']
臺灣苗栗地方法院檢察署偵查終結公告,['13294']
臺灣苗栗地方法院檢察署年度決算書(按年),['19479']
臺灣苗栗地方法院檢察署年度法定預算(按年),['12630']
臺灣苗栗地方法院檢察署會計報告,"['19578', '37731', '48185', '80000']"
臺灣苗栗地方法院檢察署緩起訴處分金與認罪協商補助款資訊,['46054']
臺灣菸酒股份有限公司(含所屬機構)溫室氣體總排放量,['25319']
臺灣菸酒股份有限公司Monde Selection獲獎紀錄,['39368']
臺灣菸酒股份有限公司主要資訊設備及員工人數配置表,['55651']
臺灣菸酒股份有限公司取得或處分土地情形,['39369']
臺灣菸酒股份有限公司台灣啤酒主力產品成份資料,['48576']
臺灣菸酒股份有限公司各啤酒廠(場)聯絡資料,['25356']
臺灣菸酒股份有限公司國外各國商標清單,['25221']
臺灣菸酒股份有限公司國外專利清單,['53068']
臺灣菸酒股份有限公司團體會費支用情形,['88329']
臺灣菸酒股份有限公司已申辦 iTaiwan熱點服務據點明細資料,['25219']
臺灣菸酒股份有限公司所屬機構溫室氣體排放量統計表,['51806']
臺灣菸酒股份有限公司採購業務 滿意度調查結果,['27035']
臺灣菸酒股份有限公司會計月報,"['19097', '27680', '43117', '76331', '99225', '117614']"
臺灣菸酒股份有限公司法定預算,['40153']
臺灣菸酒股份有限公司海外代表處,['55660']
臺灣菸酒股份有限公司營業處連絡方式,['38259']
臺灣菸酒股份有限公司產品價目表,['49742']
臺灣菸酒股份有限公司盈餘解庫數,['37311']
臺灣菸酒股份有限公司組織圖,['33439']
臺灣菸酒股份有限公司經營團隊,['26470']
臺灣菸酒股份有限公司補(捐)助執行情形,['45057']
臺灣菸酒股份有限公司連鎖新興通路客戶名單,['38261']
臺灣菸酒股份有限公司部門職掌,['48136']
臺灣菸酒股份有限公司酒類品牌產品資訊,['39370']
臺灣菸酒股份有限公司附屬單位決算主要表,['39535']
臺灣菸酒股份有限公司預算案,['40150']
臺灣藝人赴中國大陸表演應注意事項,['97703']
臺灣製MIT微笑產品驗證制度認可之驗證機構,['100030']
臺灣製產品MIT微笑標章網站通過驗證產品資料,['6027']
臺灣製產品MIT微笑標章臺灣金選獲獎產品資料,['80339']
臺灣觀光夜市美食街衛生自主管理與輔導資料集,['11510']
臺灣觀光年曆遊客量、外籍遊客數、觀光收益及產值等,['42792']
臺灣證券市場綜覽,['11138']
臺灣資安廠商介紹-英文版,['100028']
臺灣跨市場指數 > 寶島股價指數歷史資料,['11669']
臺灣跨市場指數 > 每日上市上櫃跨市場成交資訊,['11668']
臺灣農產品生產追溯-生產者資訊,['54050']
臺灣農產品生產追溯-產品資訊,['54049']
臺灣近十年出版中文工具書選介主題資料庫,['37636']
臺灣通用電子地圖(不含等高線，比例尺小於1萬8千分之1),['25108']
臺灣通用電子地圖(套疊等高線，比例尺小於1萬8千分之1),['17214']
臺灣通用電子地圖MBTiles檔(APP離線地圖用),['33384']
臺灣通用電子地圖圖磚封裝檔,['24888']
臺灣金融控股股份有限公司公司治理經營管理章則,['30455']
臺灣金融控股股份有限公司公司治理風險管理章則,['30465']
臺灣金融控股股份有限公司合併月營業額及子公司月營業額,['25168']
臺灣金融控股股份有限公司客戶資料保密措施,['25173']
臺灣金融控股股份有限公司對民間團體補(捐)助,['41363']
臺灣金融控股股份有限公司年報,['25175']
臺灣金融控股股份有限公司所有子公司對同1人、同1關係人或同1關係企業為授信、背書或其他交易總額表,['31981']
臺灣金融控股股份有限公司損益報告,['24782']
臺灣金融控股股份有限公司政策宣導廣告辦理情形,['25174']
臺灣金融控股股份有限公司會計月報,"['22672', '37647']"
臺灣金融控股股份有限公司決算書,['25171']
臺灣金融控股股份有限公司營運摘要,['25170']
臺灣金融控股股份有限公司網站新聞稿,['32021']
臺灣金融控股股份有限公司網站活動資訊,['32022']
臺灣金融控股股份有限公司董事資料,['30495']
臺灣金融控股股份有限公司財務及業務比率表,['45291']
臺灣金融控股股份有限公司財務報告,['25169']
臺灣金融控股股份有限公司金融控股公司法第4十6條第1、2項所定之交易行為總餘額申報表,['25161']
臺灣金融控股股份有限公司附屬單位決算,"['19827', '37648']"
臺灣金融控股股份有限公司附屬單位預算,"['18902', '37649']"
臺灣金融控股股份有限公司附屬單位預算案,['20697']
臺灣金融控股股份有限公司集團信用評等,['25105']
臺灣金融控股股份有限公司集團衍生性商品交易資訊,['35530']
臺灣金融控股股份有限公司集團資本適足性,['35874']
臺灣金融控股股份有限公司集團赴大陸投資資訊,['35875']
臺灣金融控股股份有限公司集團關係企業組織圖,['30147']
臺灣金融控股股份有限公司預算書,['25172']
臺灣銀行一般外匯收費標準,['24936']
臺灣銀行一般貸款收費標準,['24841']
臺灣銀行不動產標售公告,['37335']
臺灣銀行不動產標售結果,['37931']
臺灣銀行中國大陸經濟金融指標,['46659']
臺灣銀行中央登錄債券收費標準,['24947']
臺灣銀行代辦採購服務費計費標準,['46630']
臺灣銀行代辦採購業務簡介,['32109']
臺灣銀行保管箱據點,['24960']
臺灣銀行信用卡收費標準,['25018']
臺灣銀行信用卡發卡業務資料,['37268']
臺灣銀行信用評等等級,['31927']
臺灣銀行公保保險種類,['31986']
臺灣銀行公保性別統計資料,['84873']
臺灣銀行公保業務服務據點,['31996']
臺灣銀行公保業務相關法規,['32111']
臺灣銀行公保業務簡介,['32082']
臺灣銀行公保統計年刊,['32085']
臺灣銀行國內匯款收費標準,['24962']
臺灣銀行國內服務據點,['24946']
臺灣銀行國內經濟金融指標,['46660']
臺灣銀行國外服務據點,['24937']
臺灣銀行國際經濟金融指標,['46661']
臺灣銀行基本放款利率統計表,['31814']
臺灣銀行基準利率統計表,['31816']
臺灣銀行基金收費標準,['32140']
臺灣銀行年度交易日外匯各幣別即期收盤匯率,['105011']
臺灣銀行新台幣黃金存摺牌價,['26404']
臺灣銀行新臺幣存款收費標準,['24940']
臺灣銀行晶片金融卡跨國提款收費標準,['25019']
臺灣銀行消費者貸款收費標準,['24913']
臺灣銀行票券清算交割收費標準,['24958']
臺灣銀行股份有限公司會計月報,"['19944', '27611', '43007', '75583', '99079', '116347']"
臺灣銀行股份有限公司決算,['36915']
臺灣銀行股份有限公司預算,['34169']
臺灣銀行股份有限公司黃金存摺及黃金撲滿各項費用一覽表(DBU),['100988']
臺灣銀行自動提款機據點,['24961']
臺灣銀行補(捐)助,['40261']
臺灣銀行財務資訊,['31395']
臺灣銀行財富管理VIP,['34208']
臺灣銀行財富管理分行服務據點,['25024']
臺灣銀行財富管理業務簡介,['25025']
臺灣銀行財富管理業務貴賓客戶優惠方案,['34207']
臺灣銀行資本適足性與風險管理資訊揭露,['23911']
臺灣銀行達人VISA金融卡收費標準,['25017']
臺灣銀行關稅配額,['46629']
臺灣銀行關稅配額簡介,['31601']
臺灣銀行電子銀行業務各項費用收費標準,['24811']
臺灣銅金屬年腐蝕速率資料,['98177']
臺灣鋁金屬年腐蝕速率資料,['97392']
臺灣鋅金屬年腐蝕速率資料,['97388']
臺灣鐵路,['73220']
臺灣鐵路管理局文化性資產不動產清查資料清冊,['77241']
臺灣鐵路管理局蒸汽機車靜態展覽資訊,['58819']
臺灣雲林地方檢察署會計報告,"['98929', '118865']"
臺灣雲林地方法院檢察署偵查終結公告,['13301']
臺灣雲林地方法院檢察署年度決算書(按年),['21406']
臺灣雲林地方法院檢察署年度法定預算(按年),['12548']
臺灣雲林地方法院檢察署年度預算案(按年),['12555']
臺灣雲林地方法院檢察署會計報告,"['21408', '37741', '43971', '79995']"
臺灣雲林地方法院檢察署緩起訴處分金與認罪協商補助款資訊,['46058']
臺灣青年Fun眼世界→國際青年大使→最新消息,['7655']
臺灣青年Fun眼世界→國際青年菁英領袖研習班→最新消息,['7649']
臺灣青年Fun眼世界→外交小尖兵→最新消息,['7654']
臺灣青年Fun眼世界→最新消息,['7644']
臺灣青年Fun眼世界→獎助學金→最新消息,['7647']
臺灣青年Fun眼世界→青年國際參與→最新消息,['7646']
臺灣青年Fun眼世界→青年度假打工→國家資訊→度假打工資訊,['7651']
臺灣青年Fun眼世界→青年度假打工→安全與權益保障→案例分享,['7652']
臺灣青年Fun眼世界→青年度假打工→常見問題,['7656']
臺灣青年Fun眼世界→青年度假打工→最新消息,['7653']
臺灣青年Fun眼世界→青年度假打工→計畫簡介,['7650']
臺灣青年學生赴陸發展應做好的功課：風險評估,['97704']
臺灣青年海外搭僑計畫,['68266']
臺灣高等檢察署年度法定預算(按年),['12242']
臺灣高等檢察署年度預算案(按年),['12519']
臺灣高等檢察署智慧財產檢察分署年度決算書(按年),['18153']
臺灣高等檢察署智慧財產檢察分署年度法定預算(按年),['12253']
臺灣高等檢察署智慧財產檢察分署年度預算案(按年),['12520']
臺灣高等檢察署機關簡介,['96206']
臺灣高等檢察署臺中檢察分署會計月報,"['98436', '117302']"
臺灣高等檢察署臺南檢察分署會計報告,"['99016', '119223']"
臺灣高等檢察署花蓮檢察分署年度決算(自起按年),['99606']
臺灣高等檢察署花蓮檢察分署年度法定預算(自起按年),['99605']
臺灣高等檢察署花蓮檢察分署年度預算案(自起按年),['90712']
臺灣高等檢察署花蓮檢察分署會計月報,"['98913', '119326']"
臺灣高等檢察署高雄檢察分署年度決算書(按年),['18097']
臺灣高等檢察署高雄檢察分署年度法定預算(按年),['12396']
臺灣高等檢察署高雄檢察分署年度預算案(按年),['12522']
臺灣高等檢察署高雄檢察分署會計報告,"['79695', '98286', '119322']"
臺灣高等法院檢察署年度決算書(按年),['17376']
臺灣高等法院檢察署所屬各地檢署檢察官準時開庭及開庭態度調查統計分析彙整表(按月),['17022']
臺灣高等法院檢察署新聞稿,['68565']
臺灣高等法院檢察署智慧財產分署會計報告,"['18154', '37738', '43393']"
臺灣高等法院檢察署會計報告,"['17377', '37737', '43395', '77758']"
臺灣高等法院臺中分院檢察署年度決算書(按年),['17415']
臺灣高等法院臺中分院檢察署年度法定預算(按年),['12409']
臺灣高等法院臺中分院檢察署年度預算案(按年),['12529']
臺灣高等法院臺中分院檢察署會計報告,"['17416', '37735', '43406']"
臺灣高等法院臺中分院檢察署會計月報,['79729']
臺灣高等法院臺南分院檢察署年度決算書(按年),['17423']
臺灣高等法院臺南分院檢察署年度法定預算(按年),['12506']
臺灣高等法院臺南分院檢察署年度預算案(按年),['12528']
臺灣高等法院臺南分院檢察署會計報告,"['17422', '37736', '43397', '79903']"
臺灣高等法院花蓮分院檢察署年度決算書(按年),['19148']
臺灣高等法院花蓮分院檢察署年度法定預算(按年),['12561']
臺灣高等法院花蓮分院檢察署年度預算案(按年),['12562']
臺灣高等法院花蓮分院檢察署會計報告,"['19177', '37733', '43401', '79692']"
臺灣高等法院高雄分院檢察署會計報告,"['18104', '37734', '43405']"
臺灣高雄地方檢察署會計報告,"['98731', '119216']"
臺灣高雄地方法院檢察署偵查終結公告,['13304']
臺灣高雄地方法院檢察署年度決算書(按年),['17398']
臺灣高雄地方法院檢察署年度法定預算(按年),['12515']
臺灣高雄地方法院檢察署年度預算案(按年),['12625']
臺灣高雄地方法院檢察署會計報告,"['17399', '37739', '44674', '79946']"
臺灣高雄地方法院檢察署法定預算,['12268']
臺灣高雄地方法院檢察署緩起訴處分金與認罪協商補助款資訊,['46062']
臺灣高雄地方法院檢察署預算案,['12231']
臺紐經濟合作協定問答集,['73174']
臺美刑事司法互助協定中文版,['11094']
臺美刑事司法互助協定英文版,['11107']
臺美專利審查高速公路作業方案各界意見及回應彙整表,['59709']
臺美數位經濟論壇(DEF),['57166']
臺美氣象預報系統發展技術合作協議,['10252']
臺美氣象預報系統發展技術合作協議第19號執行辦法,['10242']
臺美氣象預報系統發展技術合作協議第20號執行辦法,['10254']
臺美氣象預報系統發展技術合作協議第21號執行辦法,['10259']
臺美氣象預報系統發展技術合作協議第22號執行辦法,['10261']
臺美氣象預報系統發展技術合作協議第23號執行辦法,['10377']
臺美氣象預報系統發展技術合作協議第24號執行辦法,['10387']
臺美氣象預報系統發展技術合作協議第25號執行辦法,['10390']
臺美氣象預報系統發展技術合作協議第26號執行辦法,['10401']
臺英引渡先例，實現司法正義,['15679']
臺銀人壽保險個人保件新契約平均保險費,['35256']
臺銀人壽保險個人保件新契約平均保險金額,['35255']
臺銀人壽保險個人保件有效契約平均保險金額,['30250']
臺銀人壽保險股份有限公司預算,['33994']
臺銀人壽備抵呆帳覆蓋率,['23999']
臺銀人壽備抵呆帳金額,['23986']
臺銀人壽各險別之保費收入及保險給付,['33058']
臺銀人壽各險別準備金,['35251']
臺銀人壽各項財務業務指標,['35253']
臺銀人壽市場占有率,['23998']
臺銀人壽往來經紀代理人資訊,['30252']
臺銀人壽放款總額,['23924']
臺銀人壽月報,['34263']
臺銀人壽業務員第13個月定著率,['35252']
臺銀人壽權益變動表,['23981']
臺銀人壽決算,['18463']
臺銀人壽準備金,['18343']
臺銀人壽現金流量表,['30251']
臺銀人壽盈餘分配或虧損撥補之議決,['30253']
臺銀人壽簽證會計師查核簽證或核閱之財務報告及其意見書,['30249']
臺銀人壽綜合損益表,['35254']
臺銀人壽補(捐)助資訊,['42327']
臺銀人壽資本適足性之揭露,['23997']
臺銀人壽資產評估,['30381']
臺銀人壽資產負債表,['20584']
臺銀人壽資金運用表,['23993']
臺銀人壽逾期放款,['23954']
臺銀人壽逾期放款比率,['23984']
臺銀人壽關係人交易明細表,['30195']
臺銀保經_公司治理,['35305']
臺銀保經公司客戶保密措施,['24268']
臺銀保經公司實質課稅原則,['79643']
臺銀保經公司政府網站資料開放宣告,['24236']
臺銀保經公司消費爭議處理要點,['35306']
臺銀保經公司簡介與組織架構,['37715']
臺銀保經公司聯絡方式,['35307']
臺銀保經公司董事會,['37717']
臺銀保經公司願景,['35296']
臺銀保經公司首長簡介,['37716']
臺銀保經合作之壽險公司,['37709']
臺銀保經合作之產險公司,['37710']
臺銀保經商品證券通路業務代銷售據點,['46074']
臺銀保經商品銀行業務代銷售據點,['35308']
臺銀保經壽險商品資訊,['37949']
臺銀保經已停售之壽險商品宣告利率,['46076']
臺銀保經政策宣導廣告辦理情況,['46073']
臺銀保經服務內容,['46070']
臺銀保經產險商品資訊,['37950']
臺銀保經網站隱私權保護聲明,['24269']
臺銀保經重要管理人員資格條件表,['46072']
臺銀綜合保險經紀人股份有限公司公開資訊,['24307']
臺銀綜合證券_承銷部_全球資訊網_公告,['30918']
臺銀綜合證券股份有 限公司對民間團體補(捐)助,['127845']
臺銀綜合證券股份有限公司-從業員工最近人數、平均服務年資、平均年齡及學歷分布比率,['126960']
臺銀綜合證券股份有限公司FATCA辨識表,['29246']
臺銀綜合證券股份有限公司各年度資本適足率之揭露,['32332']
臺銀綜合證券股份有限公司對民間團體補(捐)助,['52577']
臺銀綜合證券股份有限公司年報,['24500']
臺銀綜合證券股份有限公司年報資料,['126935']
臺銀綜合證券股份有限公司從業員工最近人數、平均服務年資、平均年齡及學歷分布比率,['31826']
臺銀綜合證券股份有限公司會計月報,"['27774', '85753']"
臺銀綜合證券股份有限公司業務簡介,['32365']
臺銀綜合證券股份有限公司經紀交割帳戶銀行授權扣款同意書,['31863']
臺銀綜合證券股份有限公司經紀業務各類風險預告書,['33665']
臺銀綜合證券股份有限公司經紀業務相關申請表格,['19739']
臺銀綜合證券股份有限公司董事、監察人、總經理、副總經理、協理、各部門及分支機構主管資料,['31815']
臺銀綜合證券股份有限公司董事、總經理、各部門及分支機構主管資料,['126944']
臺銀綜合證券股份有限公司重要管理人員資格條件表,['31825']
臺銀綜合證券股份有限公司銷售投信基金所收取之通路報酬,['33208']
臺銀綜合證券股份有限公司開戶資料填寫範本,['20702']
臺銀綜合證券股份有限公司附屬單位決算之分決算,['19406']
臺銀綜合證券股份有限公司電子交易操作說明,['32363']
臺銀綜合證券股份有限公司預算,['33996']
臺鐵0604富里-東竹及0622富源-光復正線出軌事故專案調查報告,['59650']
臺鐵8件正線出軌事故專案調查報告,['77790']
臺鐵便當自營販賣點,['73666']
臺鐵各車站行包、貨運業務洽詢電話表,['7862']
臺鐵各車站辦理自動存物箱寄存一覽表,['7863']
臺鐵大樓會議場所出租資料,['31182']
臺鐵客座利用率,['45069']
臺鐵局停車場出租情形一覽表,['57887']
臺鐵局出版品資訊,['93991']
臺鐵局國家賠償統計,['63547']
臺鐵局廉政會報紀錄,['92281']
臺鐵局房地產出租情形,['78625']
臺鐵局材料處資訊公開目錄,['90397']
臺鐵局經管車站停車場收費標準一覽表,['57889']
臺鐵旅客年齡與性別結構統計,['32449']
臺鐵旅客性別結構分析,['41026']
臺鐵歷年員工性別結構統計,['35324']
臺鐵歷年員工教育程度與性別統計,['32448']
臺鐵珍貴動產鐵路車輛統計,['73665']
臺鐵行車事故傷亡人員年齡及性別統計,['106822']
臺鐵行車事故資料集,['79707']
臺鐵車站,['73226']
臺閩地區作物複雜指數,['95004']
臺閩地區依大業別(公司暨非公司)資本額家數統計表,['8689']
臺閩地區依大業別(資本額級距)家數統計表,['8697']
臺閩地區信用部經營指標,['64201']
臺閩地區公民營使用及免用發票報繳營業稅情形統計表,['24308']
臺閩地區各型汽車年份統計表(大客、大貨、小客、小貨),['20376']
臺閩地區各型汽車年份統計表(自用、營業),['20375']
臺閩地區各型汽車廠牌統計表,['20369']
臺閩地區各型汽車汽缸容量級距比較統計表(大貨、小貨、大客、小客),['20364']
臺閩地區各型汽車汽缸容量級距比較統計表(自用、營業),['20362']
臺閩地區各型汽車汽缸容量級距統計表(大貨、小貨、大客、小客),['20378']
臺閩地區各型汽車汽缸容量級距統計表(自用、營業),['20377']
臺閩地區各縣市營利事業家數增長情形統計表,['8694']
臺閩地區各縣市營業人家數統計表(組織別),['8695']
臺閩地區各縣市營業人家數統計表(課稅方式別),['8696']
臺閩地區地價稅減免面積筆數統計表,['20331']
臺閩地區地價稅稅地種類稅額級距筆數統計表,['20335']
臺閩地區地價稅稅地種類面積級距筆數統計表,['20334']
臺閩地區地價稅稅額級距戶數統計表,['20333']
臺閩地區地價稅面積級距戶數統計表,['20332']
臺閩地區平均餘命,['14249']
臺閩地區房屋稅使用稅額級距統計表,['20339']
臺閩地區房屋稅使用類別戶數統計表,['20341']
臺閩地區房屋稅使用類別稅額統計表,['20338']
臺閩地區房屋稅戶數統計表,['20340']
臺閩地區房屋稅籍所有人歸戶統計表,['20342']
臺閩地區房屋稅綜合成長統計表,['20336']
臺閩地區房屋稅綜合統計表,['20337']
臺閩地區林業天然災害損失,['115944']
臺閩地區森林災害,['115945']
臺閩地區森林災害-按分,['115946']
臺閩地區民航機場設施與能量(年資料),['47490']
臺閩地區汽車所有人歸戶統計表,['20373']
臺閩地區營利事業自動報繳單位銷售額依公民營級距統計表,['24309']
臺閩地區營業人家數按各種組織依課稅方式計算比率統計,['25212']
臺閩地區營業人資本額家數統計表(組織別),['8688']
臺閩地區營業人資本額家數統計表(縣市別),['8687']
臺閩地區營業稅查定課徵營利事業開徵情形(家數、銷售額、稅額)統計表,['8690']
臺閩地區營業稅自動報繳單位申報情形分析表(縣市別),['8355']
臺閩地區營業稅自動報繳單位申報情形分析表(行業別),['8356']
臺閩地區牛飼養場數及在養頭數,['19867']
臺閩地區產乳牛頭數及產乳量值,['17489']
臺閩地區申請適用自用住宅用地稅率及一般用地稅率課徵土地增值稅稅額統計表,['20316']
臺閩地區申請適用自用住宅用地稅率課徵土地增值稅已准及未准案件稅額級距件數統計表,['20310']
臺閩地區申請適用自用住宅用地稅率課徵土地增值稅已准及未准案件面積級距件數統計表,['20311']
臺閩地區申請適用自用住宅用地稅率課徵土地增值稅核准及未准案件統計表,['20315']
臺閩地區農作物災害損失,['113948']
臺閩地區農業天然災害損失,['113962']
臺閩地區適用自用住宅用地稅率及一般用地稅率課徵土地增值稅件數稅額比較表,['20309']
臺閩地區金融機構存放款餘額,['28788']
與FTSE合作編製指數 > 臺灣 50 指數歷史資料,['11670']
與勞動部認可檢定機構(財團法人工業技術研究院)簽訂防爆電氣設備檢測報告相互承認協議之國外實驗室清單,['26314']
與各國學術交流統計,['24577']
與我國簽署投資保障(證)協定國家一覽表,['6433']
與我國簽訂自由貿易協定國家貨品統計,['6710']
與所屬中央及地方各機關(構)學校服務獎章核頒數量統計表,['11255']
與政府機關有巨額採購，且在履約期間之廠商名單,['7264']
興櫃保管有價證券週餘額表,['20608']
興櫃公司基本資料,['28568']
興櫃公司每月營業收入彙總表,['94025']
興櫃公司綜合損益表-一般業,['97140']
興櫃公司綜合損益表-保險業,['97142']
興櫃公司綜合損益表-異業,['97143']
興櫃公司綜合損益表-證券期貨業,['97139']
興櫃公司綜合損益表-金控業,['97141']
興櫃公司綜合損益表-金融業,['97138']
興櫃公司董監事持股餘額明細資料,['107015']
興櫃公司資本額排名,['33351']
興櫃公司資產負債表-一般業,['97134']
興櫃公司資產負債表-保險業,['97136']
興櫃公司資產負債表-異業,['97137']
興櫃公司資產負債表-證券期貨業,['97133']
興櫃公司資產負債表-金控業,['97135']
興櫃公司資產負債表-金融業,['97156']
興櫃公布注意有價證券資訊,['43471']
興櫃推薦證券商與推薦之股票,['30873']
興櫃當日行情表,['11398']
興櫃股票市場現況,['11399']
興櫃股票每股市值、本益比、週轉率之比較(年報),['130035']
興櫃股票每股市值、本益比、週轉率之比較_NEW,['104192']
興櫃股票當日行情表,['11747']
興櫃股票發行及資本變動統計表_NEW,['103537']
興櫃處置有價證券資訊,['43470']
舉發違反道路交通管理事件成果統計表,['39362']
舉行聽證會應注意事項,['14661']
舊制勞工退休基金年度經營概況,['57160']
舊制勞工退休基金投資運用情形,['13230']
舊制勞工退休基金會計月報,['40360']
舊制勞工退休基金每月經營概況,['13229']
舊制勞工退休基金決算,['13235']
舊制勞工退休基金社會責任投資(SRI)比例,['33545']
舊制勞工退休基金預算(法定預算),['36635']
舊制勞工退休基金預算案,['13233']
舊制勞工退休準備金收支情形,['13231']
舞蹈表演資訊,['6015']
航測相機參數檔,['40653']
航港函釋彙編,['28801']
航港局推動政府資料開放小組會議紀錄,['46733']
航港局新船營運之標準作業程序及查核點評估案,['45984']
航港建設基金年度預算,['10691']
航港建設基金會計報告,['20110']
航港建設基金決算,['79372']
航港建設基金預算,['79373']
航港統計重要指標,['79376']
航班運量整點人數預報表,['12082']
航空公司統一代碼,['8088']
航空運送責任與安全,['13502']
航船佈告,['7286']
航船布告,['15963']
航行指南,['15968']
船員外僱及僱外船員申請人數及案件統計表,['103788']
船員岸上晉升訓練人數與專業訓練人數統計,['16300']
船員訓練統計報表,['41393']
船級作業風險-依船噸位分級作業風險預報4天,['130216']
船級舒適度-依船長度分級航行舒適度預報4天,['130214']
船舶基本資料(持有有效船舶電臺執照者),['29228']
船艇產值資料,['29820']
艦隊分署及各海巡隊廳舍圖片,['9949']
艦隊分署及各海巡隊聯絡資訊,['9948']
芭瑪、梅姬颱風後蘭陽溪土砂治理策略之研究,['32645']
花宜地區休閒導覽,['9824']
花東地區交通建設現況及未來發展,['42713']
花東地區永續發展基金會計月報,['19979']
花東地區永續發展基金決算,['21248']
花東地區永續發展基金預算,['10504']
花東地區發展推動小組會議記錄,['58127']
花東線鐵路車站改建施工資訊,['97072']
花椰菜育苗場售出情形一覽表,['80108']
花蓮分公司各單位業務職掌,['11013']
花蓮區農業改良場技術授權資訊,['9667']
花蓮區農業改良場育成品種,['9666']
花蓮商港海氣象資訊,['127852']
花蓮榮民之家公務電話一覽表,['7228']
花蓮機場入境人次預報,['126788']
花蓮機場出境人次預報,['126790']
花蓮港入境人次預報,['103054']
花蓮港出境人次預報,['103055']
花蓮港務分公司觀光郵輪各航次進出港預報表,['6141']
花蓮港區碼頭設施,['67140']
花蓮港歷年國際郵輪船期報表,['40358']
花蓮港歷年風速風向資料年報,['41056']
花蓮港波浪觀測月平均資料,"['97656', '114816']"
花蓮港海流觀測月平均資料,"['97657', '114817']"
花蓮港港埠業務費率表,['11011']
花蓮港營運計畫,['11012']
花蓮港船舶即時動態,['8111']
花蓮港船舶預報改期,['8114']
花蓮港進出自動化門哨車輛總數,['43489']
花蓮港進港預報次序,['17191']
花蓮港風觀測月平均資料,"['97655', '114815']"
花蓮縣住宅單位數,['24799']
花蓮縣住戶數、常住人口數及平均每戶人口數,['24775']
花蓮縣工商及服務業場所單位年底從業員工人數及全年薪資,['15749']
花蓮縣工商及服務業場所單位經營概況,['15726']
花蓮縣常住人口之年齡結構(不含外籍勞工),['20721']
花蓮縣常住人口之性比例(不含外籍勞工),['18537']
花蓮縣常住人口數及人口密度,['18515']
花蓮縣政府民意代表建議補助款採購貪瀆弊案檢討再防貪報告,['14568']
花蓮縣榮民服務處公務電話一覽表,['7206']
花蓮縣水量水質自動監測連線傳輸監測紀錄值即時資料集,['35121']
花蓮縣重要環保統計資料,['9126']
花蓮縣非營業用戶售電量,['83704']
花蓮縣１５歲以上常住人口之婚姻狀況,['22405']
花蓮縣１５歲以上常住人口之教育程度,['20744']
花蓮縣１５歲以上民間常住人口之工作狀況,['22433']
花蓮縣５歲以上常住人口之遷徙情形,['24260']
花蓮縣６歲以上常住人口之工作地及就學地狀況,['24298']
花蓮農田水利會灌溉水質監測結果,['35483']
苗栗區農業改良場會計月報,['21208']
苗栗改良場技術移轉資訊,['9533']
苗栗縣住宅單位數,['24792']
苗栗縣住戶數、常住人口數及平均每戶人口數,['24768']
苗栗縣各鄉鎮市長辦公位址點位圖,['90744']
苗栗縣工商及服務業場所單位年底從業員工人數及全年薪資,['15738']
苗栗縣工商及服務業場所單位經營概況,['15714']
苗栗縣常住人口之年齡結構(不含外籍勞工),['20714']
苗栗縣常住人口之性比例(不含外籍勞工),['18530']
苗栗縣常住人口數及人口密度,['18508']
苗栗縣榮民服務處公務電話一覽表,['6994']
苗栗縣水量水質自動監測連線傳輸監測紀錄值即時資料集,['35111']
苗栗縣重要環保統計資料,['9130']
苗栗縣非營業用戶售電量,['83431']
苗栗縣１５歲以上常住人口之婚姻狀況,['22398']
苗栗縣１５歲以上常住人口之教育程度,['20737']
苗栗縣１５歲以上民間常住人口之工作狀況,['22425']
苗栗縣５歲以上常住人口之遷徙情形,['24253']
苗栗縣６歲以上常住人口之工作地及就學地狀況,['24291']
苗栗農田水利會灌溉水質監測結果,['34619']
英國司法互助指導手冊,['37753']
英文Taiwan Review網站,['29987']
英文網站新聞稿,['9500']
英譯法規_命令資料檔下載,['18294']
英譯法規_法律資料檔下載,['18293']
茶業改良專利資訊,['9534']
莫拉克決算(審定版),['54303']
莫拉克颱風災後重建特別決算,['10566']
菁山地質鑽探柱狀圖,['61127']
菁業獎,['11575']
華僑來臺投資分區分業月資料統計,['32514']
華僑來臺投資分區月資料統計,['32509']
華僑來臺投資分業月資料統計,['32511']
華文教師回國研習班參加人數,['6479']
華文網路種子師資培訓班(實體班)歷年參加人數,['56021']
華文網路種子師資培訓計畫線上課程學員人數,['46780']
華臺裔民選官員名單,['111906']
菸品健康福利捐分配及運作辦法(修正),['41947']
菸品福利捐執行率,['37934']
菸害檳榔小常識,['24853']
菸害防制及衛生保健基金收支保管及運用辦法,['41945']
菸害防制及衛生保健基金法定預算,['44102']
菸害防制及衛生保健基金補(捐)助情形季報表,['101336']
菸害防制及衛生保健基金附屬單位預算(法定預算),['20415']
菸害防制及衛生保健基金附屬單位預算案,"['12574', '36186']"
菸害防制及衛生保健基金預算案,['52741']
菸害防制基金附屬單位預算案,['21098']
菸捐協助經濟弱勢繳納健保欠費按受協助者行政區域分布,['79727']
菸酒事業廢棄物再利用機構資料,['34952']
菸酒市場佔有率分析表,['7386']
